,tension ,treatment,CH4_O,NH_CH2,CH2,O,CH3COO-,PO43-,SO42-,NO3-,NH4+,H2S,S2O32-,glucose_C6H12O6,glucose_C6H12O6,pentose_C5H8O4,glcnac_C8H13N1O5,neugc_C11H17N1O9,Alanine_C3H5NO,Arginine_C6H12N4O,Asparagine_C4H6N2O2,Aspartic_Acid_C4H5NO3,Cysteine_C3H5NOS,Cystine_C6H10N2O3S2,Glutamic_Acid_C5H7NO3,Glutamine_C5H8N2O2,Glycine_C2H3NO,Histidine_C6H7N3O,Isoleucine_C6H11NO,Leucine_C6H11NO,Lysine_C6H12N2O,Methionine_C5H9NOS,Phenylalanine_C9H9NO,Proline_C5H7NO,Serine_C3H5NO2,Threonine_C4H7NO2,Tryptophan_C11H10N2O,Tyrosine_C9H9NO2,Valine_C5H9NO,acetotacetate_(-H2O)_C4H4O2,acetone_(-H)_C3H5O,adenylate_(-H2O)_C10H12N5O6P,biotinyl_(-H)_C10H15N2O3S,biotinyl_(-H2O)_C10H14N2O2S,carbamoyl_P_transfer_(-H2PO4)_CH2ON,co-enzyme_A_(-H)_C21H34N7O16P3S,co-enzyme_A_(-H2O)_C21H33N7O15P3S,glutathione_(-H2O)_C10H15N3O5S,isoprene_addition_(-H)_C5H7,malonyl_group_(-H2O)_C3H2O3,palmitoylation_(-H2O)_C16H30O,pyridoxal_phosphate_(-H2O)_C8H8NO5P,urea_addition_(-H)_CH3N2O,adenine_(-H)_C5H4N5,adenosine_(-H2O)_C10H11N5O3,Adenosine_5_diphosphate_(-H2O)_C10H13N5O9P2,Adenosine_5_monophosphate_(-H2O)_C10H12N5O6P,cytidine_5_diphosphate_(-H2O)_C9H13N3O10P2,cytidine_5_monophsophate_(-H2O)_C9H12N3O7P,cytosine_(-H)_C4H4N3O,Guanosine5_diphosphate_(-H2O)_C10H13N5O10P2,Guanosine_5_monophosphate_(-H2O)_C10H12N5O7P,guanine_(-H)_C5H4N5O,guanosine_(-H2O)_C10H11N5O4,deoxythymidine_5_diphosphate_(-H2O)_C10H14N2O10P2,thymidine_(-H2O)_C10H12N2O4,thymine_(-H)_C5H5N2O2,thymidine_5_monophosphate_(-H2O)_C10H13N2O7P,uridine_5_diphosphate_(-H2O)_C9H12N2O11P2,uridine_5_monophosphate_(-H2O)_C9H11N2O8P,uracil_(-H)_C4H3N2O2,uridine_(-H2O)_C9H10N2O5,acetylation_(-H)_C2H3O2,acetylation_(-H2O)_C2H2O,C2H2_C2H2,Carboxylation_CO2,CHO2_CHO2,condensation/dehydration_H2O,diphosphate_H3O6P2,ethyl addition_(-H2O)_C2H4,Formic Acid_(-H2O)_CO,glyoxylate_(-H2O)_C2O2,hydrogenation_dehydrogenation_H2,hydroxylation_(-H)_O,Inorganic_Phosphate_P,TRANSAMINATION,Catechol_O2
21,15 mb,Strepto,4.885106383,0.69787234,8.782978723,6.382978723,0.017021277,0.085106383,0.255319149,0.10212766,0.05106383,1.089361702,0.085106383,0.034042553,0.323404255,0.629787234,0.017021277,0.034042553,0.255319149,0.05106383,0.085106383,0.034042553,0.10212766,0.034042553,0.085106383,0.10212766,0.323404255,0.068085106,0.170212766,0.170212766,0.10212766,0.068085106,0.034042553,0.170212766,0.136170213,0.119148936,0.017021277,0.017021277,0.136170213,1.821276596,0.017021277,0.05106383,0.05106383,0.017021277,0.034042553,0.017021277,0.017021277,0.153191489,0.034042553,1.49787234,0.034042553,0,0.10212766,0.034042553,0,0.017021277,0.05106383,0.034042553,0,0.034042553,0,0.068085106,0.05106383,0.017021277,0.05106383,0,0.034042553,0,0,0.017021277,0.034042553,0.034042553,0.017021277,4.578723404,4.612765957,3.659574468,0.017021277,5.106382979,0.068085106,6.638297872,4.817021277,2.263829787,5.072340426,6.4,0.017021277,0.578723404,3.455319149
22,150 mb,Strepto,4.19324196,0.271407247,9.702809065,5.401004207,0.122133261,0.013570362,0.393540508,0.149273986,0.054281449,1.085628986,0.054281449,0.040711087,0.366399783,0.936355001,0,0,0.067851812,0.027140725,0.189985073,0.067851812,0.054281449,0.094992536,0.040711087,0.108562899,0.122133261,0.027140725,0.081422174,0.081422174,0.054281449,0.054281449,0,0.067851812,0.094992536,0.094992536,0.054281449,0,0.094992536,2.401954132,0.067851812,0.013570362,0,0.027140725,0.17641471,0,0,0.013570362,0.054281449,1.9812729,0.067851812,0,0,0.027140725,0.013570362,0,0.013570362,0,0,0.067851812,0,0,0.040711087,0.013570362,0.040711087,0.027140725,0,0.040711087,0.013570362,0,0.013570362,0.040711087,0.122133261,4.084679061,4.668204641,4.858189714,0.17641471,4.912471163,0.013570362,6.893744063,4.613923192,2.999050075,5.563848555,5.428144931,0.027140725,0.244266522,3.419731307
23,15 mb,Strepto,4.180478821,0.313075506,7.826887661,5.672191529,0.092081031,0.036832413,0.497237569,0.018416206,0.073664825,1.38121547,0.128913444,0,0.239410681,0.552486188,0,0,0.036832413,0.073664825,0.128913444,0.073664825,0.036832413,0.128913444,0,0.092081031,0.184162063,0.018416206,0.165745856,0.165745856,0.128913444,0.018416206,0.055248619,0.036832413,0.036832413,0.055248619,0.073664825,0.055248619,0.036832413,1.786372007,0.036832413,0,0,0.128913444,0.128913444,0.018416206,0,0.018416206,0.018416206,1.510128913,0.073664825,0,0,0.036832413,0.018416206,0,0,0,0,0.110497238,0,0,0.073664825,0.018416206,0.018416206,0.073664825,0,0.092081031,0.018416206,0.036832413,0.036832413,0.055248619,0.092081031,4.051565378,4.272559853,4.438305709,0.092081031,4.401473297,0.018416206,6.887661142,5.451197053,2.357274401,5.451197053,5.635359116,0.055248619,0.257826888,3.057090239
24,150 mb,Strepto,3.191489362,0.212765957,11.59574468,4.14893617,0.106382979,0,0.319148936,0,0.319148936,1.808510638,0.319148936,0.106382979,0.212765957,0.212765957,0,0,0.106382979,0,0.106382979,0,0,0,0.212765957,0.319148936,0.212765957,0,0,0,0.106382979,0,0,0.106382979,0,0,0.106382979,0,0,0.638297872,0,0,0.106382979,0,0.425531915,0,0,0.106382979,0,0.531914894,0.212765957,0,0,0,0.106382979,0,0,0,0,0.106382979,0,0,0,0,0.106382979,0,0,0,0,0,0.106382979,0.319148936,0.106382979,2.978723404,3.191489362,3.617021277,0,4.468085106,0,8.829787234,3.936170213,1.595744681,6.382978723,4.14893617,0,0.425531915,2.234042553
25,15 mb,Strepto,3.35954253,0.42887777,12.50893495,5.432451751,0.142959257,0,0.42887777,0.214438885,0.142959257,1.215153681,0.42887777,0.071479628,0.142959257,0.285918513,0,0,0.071479628,0,0.071479628,0.214438885,0.071479628,0.071479628,0,0.214438885,0,0.071479628,0,0,0.071479628,0,0.071479628,0,0,0,0,0.071479628,0,1.000714796,0.071479628,0.071479628,0,0,0.142959257,0,0,0,0.071479628,0.500357398,0.214438885,0,0.071479628,0,0,0,0.071479628,0,0.071479628,0.142959257,0,0,0.142959257,0.071479628,0.071479628,0,0,0,0,0,0,0.071479628,0.142959257,3.145103645,3.716940672,4.21729807,0.142959257,3.073624017,0.071479628,8.791994282,4.002859185,0.929235168,5.218012866,5.432451751,0,0.142959257,2.644746247
26,150 mb,Strepto,4.942716858,0.130932897,12.34042553,7.234042553,0.196399345,0.065466448,0.196399345,0.327332242,0.130932897,1.309328969,0.22913257,0,0.032733224,0.098199673,0,0,0.032733224,0.032733224,0.032733224,0,0.032733224,0.032733224,0,0,0.032733224,0.098199673,0,0,0.098199673,0.065466448,0.032733224,0.130932897,0.130932897,0.098199673,0.163666121,0.065466448,0.032733224,0.654664484,0.327332242,0.065466448,0.065466448,0.065466448,0.196399345,0,0,0,0.032733224,0.589198036,0.098199673,0.065466448,0,0.065466448,0,0,0.065466448,0.032733224,0.065466448,0.130932897,0,0,0.065466448,0.032733224,0.032733224,0.032733224,0,0,0,0,0.065466448,0.130932897,0.196399345,2.880523732,3.829787234,3.436988543,0.196399345,2.978723404,0.032733224,8.543371522,3.960720131,1.374795417,4.779050736,7.299509002,0.098199673,0.196399345,2.847790507
27,15 mb,Strepto,3.952781256,0.286174209,10.85673404,5.848685387,0.697549633,0.017885888,0.411375425,0.053657664,0.017885888,1.627615811,0.071543552,0.143087104,0.232516544,0.715435521,0.053657664,0.035771776,0.08942944,0.071543552,0.071543552,0.107315328,0.035771776,0.017885888,0.053657664,0.107315328,0.125201216,0.143087104,0.107315328,0.107315328,0.053657664,0.053657664,0.053657664,0.08942944,0.053657664,0.160972992,0,0.053657664,0.053657664,1.860132356,0.429261313,0.017885888,0,0.071543552,0.08942944,0.017885888,0.017885888,0,0.250402432,1.341441603,0.250402432,0.017885888,0,0,0,0,0.017885888,0,0,0.107315328,0.017885888,0,0.035771776,0.017885888,0,0.071543552,0.017885888,0.017885888,0,0,0.035771776,0.053657664,0.697549633,3.970667144,4.256841352,3.666607047,0.661777857,3.845465927,0.071543552,8.477910928,4.864961545,2.110534788,5.544625291,5.830799499,0.035771776,0.232516544,3.505634055
28,150 mb,Strepto,2.477183833,0.260756193,16.68839635,6.910039113,1.043024772,0,0.391134289,0,0.260756193,1.043024772,0,0.260756193,0.260756193,0.130378096,0,0,0.260756193,0,0,0.391134289,0,0,0,0,0.130378096,0,0,0,0.130378096,0,0.391134289,0.130378096,0,0,0,0,0,0.782268579,0.391134289,0,0,0,0.130378096,0,0,0,0.130378096,0.782268579,0,0,0.130378096,0.130378096,0,0,0,0,0,0.130378096,0,0,0.130378096,0,0,0,0,0,0,0,0,0,1.043024772,3.259452412,3.520208605,2.346805737,0.260756193,3.129074316,0,9.908735332,3.389830508,0.651890482,5.736636245,6.910039113,0,0.130378096,3.129074316
29,15 mb,Strepto,2.638190955,0.628140704,13.5678392,4.396984925,0,0.251256281,0.502512563,0.251256281,0,1.130653266,0.125628141,0,0,0,0,0,0.125628141,0,0.125628141,0,0,0.125628141,0.125628141,0.251256281,0.125628141,0,0,0,0,0.125628141,0.125628141,0,0.125628141,0.125628141,0,0,0,0.376884422,0,0,0.125628141,0,0.251256281,0,0.125628141,0,0,0.753768844,0,0.125628141,0,0,0.125628141,0,0,0,0,0,0,0,0.125628141,0,0,0,0,0,0,0,0,0,0,2.889447236,3.015075377,4.648241206,0,2.889447236,0,10.92964824,3.391959799,0.502512563,3.894472362,4.396984925,0,0.251256281,1.633165829
30,150 mb,Strepto,3.349282297,0.119617225,13.39712919,5.741626794,0.23923445,0.119617225,0.23923445,0,0,1.196172249,0,0.119617225,0,0.23923445,0,0,0.119617225,0.119617225,0,0,0.119617225,0,0,0,0,0.23923445,0,0,0,0,0,0,0,0.119617225,0,0.119617225,0,0.717703349,0,0,0.119617225,0,0.119617225,0,0,0,0,0.358851675,0.23923445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119617225,0,0,0,0,0.119617225,0,0.23923445,2.990430622,3.827751196,4.066985646,0.119617225,3.708133971,0,9.928229665,3.468899522,1.315789474,6.459330144,5.741626794,0,0.23923445,3.827751196
31,15 mb,cellvibrio,2.680067002,0.301507538,5.326633166,4.05360134,0.100502513,0.100502513,1.105527638,0.502512563,0.2680067,0.469011725,0.100502513,0.033500838,0.033500838,0.201005025,0.067001675,0.033500838,0.201005025,0.100502513,0.13400335,0.067001675,0.067001675,0.067001675,0.033500838,0.033500838,0.067001675,0,0.033500838,0.033500838,0.067001675,0.201005025,0.033500838,0.067001675,0.167504188,0.100502513,0.100502513,0.100502513,0,1.407035176,0,0,0.033500838,0.067001675,0.033500838,0,0,0.033500838,0.100502513,0.971524288,0.033500838,0,0.033500838,0.100502513,0.067001675,0.033500838,0,0,0.067001675,0.100502513,0.033500838,0,0.13400335,0.167504188,0.033500838,0.201005025,0,0.100502513,0.167504188,0.2680067,0.033500838,0.301507538,0.100502513,3.51758794,3.752093802,4.120603015,0.033500838,3.78559464,0,4.690117253,3.886097152,1.775544389,3.584589615,4.020100503,0.033500838,0.5360134,2.211055276
32,150 mb,cellvibrio,3.176498686,0.214951039,7.642703606,4.537855266,0.119417244,0.095533795,0.740386912,0.286601385,0.119417244,1.074755195,0.358251732,0,0.071650346,0.167184141,0.047766898,0,0.047766898,0.095533795,0.047766898,0.047766898,0,0.047766898,0,0.071650346,0.047766898,0.023883449,0.047766898,0.047766898,0.023883449,0.023883449,0,0,0.071650346,0.047766898,0.047766898,0,0.047766898,1.647957965,0.095533795,0,0.023883449,0.023883449,0.095533795,0,0,0.023883449,0.047766898,1.122522092,0.023883449,0,0.047766898,0,0.023883449,0,0,0,0.047766898,0.119417244,0.047766898,0.023883449,0.047766898,0.023883449,0.167184141,0.262717936,0,0.238834488,0.071650346,0.334368283,0,0.047766898,0.119417244,3.248149033,3.89300215,4.872223549,0.143300693,4.155720086,0,5.8275615,3.773584906,1.791258658,4.513971818,4.561738715,0.023883449,0.262717936,2.507762121
33,15 mb,cellvibrio,2.627324171,0.323362975,6.790622474,4.365400162,0.080840744,0.040420372,0.444624091,0.687146322,0.121261116,0.889248181,0.080840744,0.040420372,0.121261116,0.080840744,0.040420372,0,0.040420372,0.040420372,0.080840744,0.040420372,0,0,0.040420372,0.040420372,0.080840744,0.040420372,0,0,0.040420372,0,0,0,0.040420372,0.121261116,0,0,0,0.565885206,0,0.080840744,0.161681487,0,0.040420372,0,0,0,0.040420372,0.889248181,0.040420372,0.040420372,0,0.040420372,0.040420372,0.121261116,0.080840744,0,0.040420372,0,0,0.121261116,0,0.161681487,0,0.121261116,0.040420372,0.121261116,0,0.202101859,0,0.121261116,0.080840744,2.991107518,3.395311237,3.354890865,0.080840744,4.042037187,0.282942603,6.345998383,2.950687146,1.253031528,3.516572352,4.365400162,0,0.282942603,2.061438965
34,150 mb,cellvibrio,2.187720536,0.211714891,6.91601976,3.775582216,0.07057163,0.105857445,0.705716302,0.529287227,0.105857445,1.199717713,0.282286521,0.035285815,0.07057163,0.14114326,0.105857445,0,0,0.211714891,0.07057163,0.07057163,0.035285815,0.07057163,0.07057163,0,0.07057163,0,0.035285815,0.035285815,0.035285815,0.035285815,0,0.07057163,0,0,0,0,0.07057163,1.199717713,0.07057163,0.035285815,0.07057163,0.14114326,0.14114326,0,0,0.035285815,0,0.635144672,0.14114326,0,0,0,0.07057163,0.07057163,0.035285815,0,0,0.07057163,0,0.105857445,0.035285815,0.247000706,0.105857445,0.176429076,0.035285815,0.07057163,0.247000706,0.176429076,0.035285815,0.105857445,0.07057163,2.717007763,3.52858151,4.375441073,0.07057163,3.846153846,0.105857445,5.786873677,2.858151023,1.023288638,4.057868737,3.810868031,0.035285815,0.317572336,1.693719125
35,15 mb,cellvibrio,2.757949384,0.324464633,7.852044127,4.931862427,0.064892927,0,0.616482803,0.162232317,0.064892927,0.940947437,0.162232317,0.064892927,0.09733939,0.259571707,0.032446463,0,0.09733939,0.064892927,0.09733939,0.064892927,0,0,0.064892927,0.064892927,0.129785853,0,0,0,0.129785853,0.064892927,0.032446463,0.032446463,0.064892927,0.09733939,0,0.032446463,0.032446463,1.07073329,0.064892927,0.09733939,0.19467878,0.064892927,0.09733939,0.032446463,0,0,0.032446463,0.713822193,0.09733939,0,0,0.032446463,0.032446463,0.064892927,0.09733939,0,0,0.09733939,0,0.032446463,0.064892927,0.227125243,0,0.162232317,0.032446463,0.064892927,0.064892927,0.09733939,0,0.032446463,0.064892927,3.244646334,3.40687865,2.887735237,0.032446463,3.958468527,0.032446463,6.456846204,2.9201817,1.16807268,3.828682674,4.931862427,0.032446463,0.421804023,2.14146658
36,150 mb,cellvibrio,3.139126067,0.150678051,9.316926168,5.173279759,0.401808137,0.025113009,0.778503265,0.100452034,0.050226017,1.305876444,0.200904068,0.075339026,0.226017077,0.401808137,0.075339026,0.025113009,0.100452034,0.075339026,0.050226017,0.050226017,0,0.050226017,0.050226017,0.075339026,0.075339026,0.075339026,0,0,0.025113009,0,0.050226017,0,0.025113009,0.075339026,0.025113009,0,0.025113009,1.607232546,0.452034154,0.075339026,0,0.100452034,0.150678051,0,0,0,0.100452034,1.180311401,0.075339026,0.025113009,0,0.050226017,0.025113009,0,0.075339026,0,0,0.075339026,0.025113009,0.025113009,0.025113009,0.125565043,0.075339026,0.226017077,0,0.075339026,0,0.050226017,0,0.075339026,0.401808137,3.063787042,3.766951281,4.043194375,0.326469111,3.917629332,0.050226017,7.358111502,3.566047212,1.983927675,4.570567554,5.173279759,0,0.17579106,3.314917127
37,15 mb,cellvibrio,3.199360128,0.179964007,9.298140372,5.25894821,0.459908018,0.019996001,0.719856029,0.099980004,0.039992002,1.23975205,0.139972006,0.059988002,0.23995201,0.619876025,0.019996001,0.019996001,0.059988002,0.039992002,0.019996001,0.039992002,0.019996001,0,0.019996001,0.039992002,0.059988002,0.059988002,0.019996001,0.019996001,0.039992002,0.019996001,0.039992002,0,0.059988002,0.079984003,0.019996001,0,0.059988002,1.339732054,0.379924015,0,0.059988002,0.019996001,0.039992002,0.019996001,0,0.039992002,0.179964007,1.159768046,0.099980004,0,0,0.059988002,0.039992002,0.019996001,0,0,0.019996001,0.119976005,0.019996001,0.019996001,0.059988002,0.119976005,0.019996001,0.199960008,0.019996001,0.119976005,0.059988002,0.23995201,0,0.079984003,0.459908018,3.159368126,3.799240152,3.819236153,0.399920016,4.23915217,0.059988002,6.918616277,3.419316137,1.719656069,4.879024195,5.218956209,0.039992002,0.179964007,3.23935213
38,150 mb,cellvibrio,3.767123288,0.126171593,8.363374189,5.425378515,0.360490267,0.018024513,0.684931507,0.036049027,0.072098053,1.315789474,0.126171593,0.05407354,0.306416727,0.630857967,0,0.018024513,0.072098053,0.090122567,0.05407354,0.05407354,0,0.036049027,0.036049027,0.05407354,0.05407354,0.036049027,0.036049027,0.036049027,0,0.036049027,0.036049027,0.018024513,0.018024513,0.090122567,0,0.05407354,0.018024513,1.694304254,0.252343187,0.018024513,0.05407354,0.05407354,0.072098053,0,0,0,0.198269647,1.207642394,0.036049027,0.05407354,0,0.090122567,0.018024513,0.018024513,0.018024513,0.018024513,0,0.036049027,0.036049027,0.036049027,0.036049027,0.16222062,0.036049027,0.180245133,0.018024513,0.018024513,0.018024513,0.144196107,0,0.072098053,0.360490267,3.677000721,4.307858688,3.857245854,0.306416727,4.037490988,0.090122567,6.182408075,4.452054795,2.090843547,4.758471521,5.425378515,0.018024513,0.180245133,3.100216294
39,15 mb,cellvibrio,4.146073586,0.109829764,10.59857221,6.013179572,0.549148819,0.054914882,0.741350906,0.192202087,0.192202087,1.263042284,0,0,0.439319055,0.686436024,0,0,0.027457441,0.082372323,0.082372323,0.027457441,0,0.054914882,0.027457441,0.027457441,0.027457441,0,0.054914882,0.054914882,0.054914882,0.027457441,0.054914882,0.082372323,0.109829764,0.082372323,0.054914882,0.082372323,0.027457441,1.619989017,0.961010434,0,0,0.054914882,0.247116969,0,0,0.027457441,0.054914882,1.867105986,0,0.054914882,0.027457441,0.027457441,0,0.082372323,0,0,0.027457441,0.109829764,0,0,0.109829764,0.054914882,0.027457441,0.082372323,0,0.109829764,0,0.027457441,0,0.027457441,0.549148819,3.651839649,3.349807798,4.530477759,0.521691378,2.773201538,0.082372323,8.841295991,4.036243822,2.196595277,4.008786381,6.040637013,0.027457441,0.164744646,2.937946183
40,150 mb,cellvibrio,3.5677029,0.250365116,7.615272272,5.132484874,0.187773837,0.02086376,1.064051742,0.041727519,0.062591279,1.1892343,0.166910077,0.02086376,0.354683914,0.688504068,0.041727519,0,0.146046318,0.02086376,0.041727519,0,0.041727519,0,0.062591279,0.166910077,0.041727519,0.02086376,0.041727519,0.041727519,0.02086376,0.041727519,0.041727519,0.041727519,0.041727519,0.125182558,0.062591279,0.062591279,0.02086376,1.77341957,0.146046318,0.062591279,0,0.083455039,0.041727519,0,0,0,0.041727519,1.585645733,0.041727519,0.062591279,0.041727519,0.062591279,0.02086376,0.041727519,0.062591279,0.02086376,0,0.041727519,0,0,0.02086376,0.208637596,0.02086376,0.187773837,0,0.062591279,0.062591279,0.146046318,0.041727519,0.083455039,0.187773837,3.5677029,3.922386814,3.484247861,0.146046318,4.026705612,0.104318798,6.342582933,3.943250574,2.044648446,4.819528479,5.132484874,0.041727519,0.375547674,3.421656583
