,tension ,treatment,CH4_O,NH_CH2,CH2,O,CH3COO-,PO43-,SO42-,NO3-,NH4+,H2S,S2O32-,glucose_C6H12O6,glucose_C6H12O6,pentose_C5H8O4,glcnac_C8H13N1O5,neugc_C11H17N1O9,Alanine_C3H5NO,Arginine_C6H12N4O,Asparagine_C4H6N2O2,Aspartic_Acid_C4H5NO3,Cysteine_C3H5NOS,Cystine_C6H10N2O3S2,Glutamic_Acid_C5H7NO3,Glutamine_C5H8N2O2,Glycine_C2H3NO,Histidine_C6H7N3O,Isoleucine_C6H11NO,Leucine_C6H11NO,Lysine_C6H12N2O,Methionine_C5H9NOS,Phenylalanine_C9H9NO,Proline_C5H7NO,Serine_C3H5NO2,Threonine_C4H7NO2,Tryptophan_C11H10N2O,Tyrosine_C9H9NO2,Valine_C5H9NO,acetotacetate_(-H2O)_C4H4O2,acetone_(-H)_C3H5O,adenylate_(-H2O)_C10H12N5O6P,biotinyl_(-H)_C10H15N2O3S,biotinyl_(-H2O)_C10H14N2O2S,carbamoyl_P_transfer_(-H2PO4)_CH2ON,co-enzyme_A_(-H)_C21H34N7O16P3S,co-enzyme_A_(-H2O)_C21H33N7O15P3S,glutathione_(-H2O)_C10H15N3O5S,isoprene_addition_(-H)_C5H7,malonyl_group_(-H2O)_C3H2O3,palmitoylation_(-H2O)_C16H30O,pyridoxal_phosphate_(-H2O)_C8H8NO5P,urea_addition_(-H)_CH3N2O,adenine_(-H)_C5H4N5,adenosine_(-H2O)_C10H11N5O3,Adenosine_5_diphosphate_(-H2O)_C10H13N5O9P2,Adenosine_5_monophosphate_(-H2O)_C10H12N5O6P,cytidine_5_diphosphate_(-H2O)_C9H13N3O10P2,cytidine_5_monophsophate_(-H2O)_C9H12N3O7P,cytosine_(-H)_C4H4N3O,Guanosine5_diphosphate_(-H2O)_C10H13N5O10P2,Guanosine_5_monophosphate_(-H2O)_C10H12N5O7P,guanine_(-H)_C5H4N5O,guanosine_(-H2O)_C10H11N5O4,deoxythymidine_5_diphosphate_(-H2O)_C10H14N2O10P2,thymidine_(-H2O)_C10H12N2O4,thymine_(-H)_C5H5N2O2,thymidine_5_monophosphate_(-H2O)_C10H13N2O7P,uridine_5_diphosphate_(-H2O)_C9H12N2O11P2,uridine_5_monophosphate_(-H2O)_C9H11N2O8P,uracil_(-H)_C4H3N2O2,uridine_(-H2O)_C9H10N2O5,acetylation_(-H)_C2H3O2,acetylation_(-H2O)_C2H2O,C2H2_C2H2,Carboxylation_CO2,CHO2_CHO2,condensation/dehydration_H2O,diphosphate_H3O6P2,ethyl addition_(-H2O)_C2H4,Formic Acid_(-H2O)_CO,glyoxylate_(-H2O)_C2O2,hydrogenation_dehydrogenation_H2,hydroxylation_(-H)_O,Inorganic_Phosphate_P,TRANSAMINATION,Catechol_O2
41,15 mb,Tricho,4.096733442,0.64970222,8.698790832,5.504421585,0.018047284,0,0.360945678,0,0.090236419,1.20916802,0.054141852,0.018047284,0.288756542,0.830175059,0.018047284,0,0.32485111,0.036094568,0.108283703,0.198520123,0.072189136,0.072189136,0.162425555,0.090236419,0.32485111,0.054141852,0.180472839,0.180472839,0.072189136,0.054141852,0.018047284,0.270709258,0.342898394,0.23461469,0.090236419,0.036094568,0.198520123,1.949106659,0.036094568,0.018047284,0,0.018047284,0.036094568,0,0,0,0,1.786681104,0.198520123,0,0,0.054141852,0.018047284,0,0.018047284,0,0,0.090236419,0,0.054141852,0.090236419,0,0,0.090236419,0.018047284,0,0,0,0.036094568,0.090236419,0.018047284,4.186969861,4.638151958,4.475726403,0.036094568,4.493773687,0.036094568,7.634001083,4.620104674,2.670998015,5.558563436,5.558563436,0.018047284,0.469229381,3.410936654
42,150 mb,Tricho,3.582142227,0.352920416,8.064231516,6.511381683,0.088230104,0,0.229398271,0.035292042,0.088230104,1.411681666,0.158814187,0.035292042,0.299982354,0.847008999,0.017646021,0,0.105876125,0.070584083,0.176460208,0.070584083,0.105876125,0.105876125,0.123522146,0.282336333,0.052938062,0.070584083,0.123522146,0.123522146,0.052938062,0.017646021,0.052938062,0.035292042,0.123522146,0.176460208,0.052938062,0.035292042,0.017646021,3.193929769,0.088230104,0,0,0.017646021,0.105876125,0,0,0,0.035292042,1.817540145,0.088230104,0,0.017646021,0,0.017646021,0,0,0,0,0.035292042,0,0.017646021,0.070584083,0.017646021,0,0.052938062,0.017646021,0,0.017646021,0.017646021,0.017646021,0.017646021,0.088230104,7.852479266,5.57614258,3.158637727,0.123522146,3.988000706,0.052938062,6.917240162,4.658549497,2.399858832,5.293806247,6.529027704,0.035292042,0.229398271,3.599788248
43,15 mb,Tricho,4.021795537,0.492994292,10.11935651,5.682407888,0.12973534,0.077841204,0.311364816,0.025947068,0.103788272,1.193565127,0.025947068,0,0.337311884,0.700570835,0,0,0.103788272,0.077841204,0.155682408,0.051894136,0.025947068,0,0.025947068,0.207576544,0.181629476,0.025947068,0.38920602,0.38920602,0.103788272,0.051894136,0.051894136,0.077841204,0.103788272,0.103788272,0.051894136,0.025947068,0.103788272,1.660612351,0.077841204,0,0.025947068,0.077841204,0.025947068,0.025947068,0,0.025947068,0.103788272,0.985988583,0.285417748,0.025947068,0.025947068,0.025947068,0,0.025947068,0,0.025947068,0,0.155682408,0,0,0,0,0,0.103788272,0,0,0,0,0.051894136,0.12973534,0.12973534,3.840166061,4.644525169,4.411001557,0.12973534,4.644525169,0,8.199273482,4.177477945,2.205500778,5.708354956,5.682407888,0.025947068,0.415153088,3.450960042
44,150 mb,Tricho,4.185719311,0.298979951,8.406612733,5.100246219,0.017587056,0.017587056,0.597959902,0.105522336,0.035174112,1.741118537,0.158283503,0.035174112,0.211044671,0.527611678,0,0.017587056,0.123109391,0.035174112,0.070348224,0.035174112,0.017587056,0.017587056,0.070348224,0.052761168,0.105522336,0.035174112,0.105522336,0.105522336,0.070348224,0,0.017587056,0.017587056,0.105522336,0.105522336,0.017587056,0,0.035174112,2.655645445,0.035174112,0,0,0.035174112,0.08793528,0.017587056,0,0,0.052761168,1.776292649,0.070348224,0,0.017587056,0.035174112,0.017587056,0,0,0.017587056,0.017587056,0.228631727,0,0,0.123109391,0,0,0,0.017587056,0,0,0,0.035174112,0.035174112,0.017587056,3.869152304,5.240942666,4.045022863,0.017587056,3.88673936,0,7.175518818,6.788603588,3.060147731,7.404150545,5.100246219,0.035174112,0.211044671,3.482237074
45,15 mb,Tricho,3.634926906,0.375345713,11.49743185,6.045041486,0.138285263,0,0.217305413,0.019755038,0.138285263,1.145792177,0.23706045,0.059265113,0.217305413,0.414855788,0.019755038,0,0.118530225,0.039510075,0.23706045,0,0.256815488,0.059265113,0.059265113,0.296325563,0.118530225,0.098775188,0.118530225,0.118530225,0.23706045,0.276570525,0.098775188,0.098775188,0.118530225,0.138285263,0.039510075,0.039510075,0.138285263,2.133544054,0.098775188,0,0,0.07902015,0.07902015,0,0,0,0.039510075,1.027261952,0.395100751,0,0.039510075,0.07902015,0.019755038,0,0,0.019755038,0,0.07902015,0,0,0.098775188,0,0,0.019755038,0.098775188,0,0,0,0.019755038,0.019755038,0.138285263,7.2105887,4.701698933,3.022520743,0.098775188,3.378111418,0.059265113,7.981035164,6.321612011,2.133544054,5.412880284,5.906756223,0,0.335835638,2.80521533
46,150 mb,Tricho,4.029105126,0.217202433,9.784969592,5.462641182,0.619026933,0.043440487,0.749348393,0.043440487,0.032580365,1.379235447,0.195482189,0.076020851,0.66246742,1.205473501,0.010860122,0.010860122,0.108601216,0.086880973,0.108601216,0.054300608,0.06516073,0,0.054300608,0.054300608,0.152041703,0.076020851,0.06516073,0.06516073,0.021720243,0.054300608,0.043440487,0.032580365,0.097741095,0.076020851,0.032580365,0.010860122,0.076020851,2.269765421,0.629887055,0,0.010860122,0.043440487,0.108601216,0,0,0.043440487,0.217202433,2.052562989,0.173761946,0.021720243,0.021720243,0.032580365,0.032580365,0,0,0,0.032580365,0.119461338,0,0,0.021720243,0.021720243,0,0.010860122,0.032580365,0,0,0,0.054300608,0.010860122,0.629887055,4.213727194,4.246307559,3.811902693,0.59730669,3.898783666,0.021720243,7.64552563,5.701563858,2.834491746,5.831885317,5.45178106,0.06516073,0.206342311,3.562119896
47,15 mb,Tricho,4.211247111,0.205426688,9.740648806,5.983052298,0.718993409,0.017118891,0.522126166,0.077035008,0.034237781,1.386630146,0.102713344,0.145510571,0.505007276,0.958657879,0.017118891,0.017118891,0.11127279,0.059916117,0.085594453,0.051356672,0.059916117,0.034237781,0.034237781,0.034237781,0.136951126,0.042797227,0.12839168,0.12839168,0.042797227,0.119832235,0.008559445,0.068475563,0.077035008,0.102713344,0.051356672,0.034237781,0.059916117,2.139861337,0.684755628,0.017118891,0.008559445,0.051356672,0.094153899,0,0,0.008559445,0.36805615,1.703329624,0.11127279,0,0.025678336,0.025678336,0.017118891,0,0.017118891,0.008559445,0.008559445,0.094153899,0,0,0.068475563,0.017118891,0,0.008559445,0.017118891,0.034237781,0,0.008559445,0.034237781,0.042797227,0.718993409,4.125652658,4.519387144,3.800393734,0.693315073,4.228366002,0.034237781,7.361122999,4.981597193,2.490798596,5.837541727,6.000171189,0.051356672,0.25678336,3.731918172
48,150 mb,Tricho,4.46591179,0.1425291,9.09810753,6.437564336,0.546361549,0.015836567,0.403832449,0,0.0475097,1.306516747,0.134610816,0.087101116,0.427587299,0.871011165,0.015836567,0.015836567,0.07126455,0.087101116,0.0475097,0.015836567,0.079182833,0.02375485,0.015836567,0.079182833,0.07126455,0.031673133,0.087101116,0.087101116,0.031673133,0.031673133,0.039591417,0.039591417,0.07126455,0.0475097,0.039591417,0,0.02375485,2.438831261,0.483015282,0,0.015836567,0.02375485,0.102937683,0,0,0,0.285058199,1.726185763,0.11877425,0,0.02375485,0.031673133,0.015836567,0.007918283,0,0.007918283,0.015836567,0.079182833,0.007918283,0.007918283,0.0475097,0,0.007918283,0.015836567,0,0.007918283,0,0,0,0.02375485,0.546361549,5.756591971,5.123129306,3.618655475,0.514688416,4.141262174,0.039591417,6.952252752,5.416105788,2.763480877,5.851611371,6.390054636,0.0475097,0.1900388,3.705756592
49,15 mb,Tricho,4.173431382,0.649412664,9.36873269,5.873364531,0.191003725,0.009550186,0.229204469,0.009550186,0.019100372,1.251074396,0.171903352,0.057301117,0.401107822,0.73536434,0.028650559,0.019100372,0.410658008,0.047750931,0.15280298,0.095501862,0.066851304,0.057301117,0.095501862,0.162353166,0.42975838,0.028650559,0.238754656,0.238754656,0.191003725,0.047750931,0.019100372,0.219654283,0.229204469,0.171903352,0.038200745,0,0.315156146,2.320695254,0.095501862,0.019100372,0,0.047750931,0.038200745,0,0.009550186,0,0.057301117,1.566230541,0.238754656,0.019100372,0.038200745,0.009550186,0.009550186,0.009550186,0.019100372,0,0,0.162353166,0.009550186,0,0.047750931,0.019100372,0,0.019100372,0.019100372,0.009550186,0,0,0.009550186,0.019100372,0.191003725,6.484576449,5.042498329,3.514468532,0.114602235,3.906026168,0.07640149,7.324992837,5.777862668,2.387546557,5.558208385,5.94976602,0.009550186,0.611211919,3.218412759
50,150 mb,Tricho,4.420401855,0.185471406,10.78825348,6.336939722,0.432766615,0.123647604,0.432766615,0,0.092735703,1.081916538,0.092735703,0.092735703,0.123647604,0.587326121,0,0.030911901,0.123647604,0.030911901,0.030911901,0.030911901,0,0,0.030911901,0.061823802,0.154559505,0.030911901,0,0,0.030911901,0,0.030911901,0,0.061823802,0.092735703,0,0,0.030911901,2.00927357,0.340030912,0,0,0.030911901,0.030911901,0.030911901,0,0,0.092735703,1.42194745,0.061823802,0,0,0,0,0,0,0,0,0.061823802,0,0,0.030911901,0,0,0.030911901,0.092735703,0,0,0,0.030911901,0.030911901,0.432766615,4.204018547,4.791344668,3.894899536,0.340030912,3.956723338,0,8.315301391,4.914992272,2.411128284,6.306027821,6.336939722,0.030911901,0.123647604,3.771251932
51,15 mb,pre (1:5),4.030960997,1.085645356,6.162042622,5.48854041,0.030156815,0.020104544,0.341777242,0.050261359,0.030156815,0.975070366,0.020104544,0.010052272,0.934861279,1.568154403,0.120627262,0,0.824286289,0.030156815,0,0.723763571,0.030156815,0.010052272,0.653397668,0.020104544,1.005227181,0.030156815,0.432247688,0.432247688,0,0.030156815,0.100522718,0.603136309,0.824286289,0.733815842,0,0.170888621,0.532770406,2.864897467,0.020104544,0.010052272,0.030156815,0,0.030156815,0,0,0,0.010052272,2.412545235,0.040209087,0,0.030156815,0.060313631,0,0,0.010052272,0,0,0.030156815,0.010052272,0.010052272,0.070365903,0,0,0.020104544,0.040209087,0,0.010052272,0,0.030156815,0.010052272,0.030156815,4.774829111,4.855247286,3.860072376,0.020104544,5.15681544,0.030156815,5.810213108,4.684358665,3.146361078,5.337756333,5.498592682,0.010052272,0.703659027,4.081222356
52,150 mb,pre (1:5),4.435716761,0.127064803,8.536444496,5.175002888,0.231026915,0,0.32343768,0.023102691,0.173270186,1.178237265,0.08085942,0.08085942,0.612221324,1.224442648,0.034654037,0.011551346,0.103962112,0.023102691,0.103962112,0.103962112,0.023102691,0.011551346,0.103962112,0.08085942,0.08085942,0.011551346,0.057756729,0.057756729,0.011551346,0.011551346,0.057756729,0.08085942,0.138616149,0.069308074,0.011551346,0.034654037,0.069308074,3.892803512,0.24257826,0,0,0.023102691,0.16171884,0,0,0.011551346,0.138616149,2.217858381,0.092410766,0.011551346,0.011551346,0.046205383,0,0.011551346,0,0,0,0.069308074,0,0,0.034654037,0,0.023102691,0.011551346,0.011551346,0.046205383,0.011551346,0,0.023102691,0.023102691,0.231026915,4.250895229,5.856532286,4.354857341,0.196372877,5.082592122,0.023102691,6.410996881,4.389511378,3.292133534,5.509991914,5.198105579,0.023102691,0.138616149,4.146933118
53,15 mb,pre (1:5),4.235760634,0.288392213,7.570295602,5.695746215,0.16222062,0,0.5407354,0.126171593,0.126171593,1.333813987,0.036049027,0,0.522710887,1.117519827,0.036049027,0.036049027,0.21629416,0.036049027,0.05407354,0.126171593,0.05407354,0,0.10814708,0.05407354,0.234318673,0.072098053,0.180245133,0.180245133,0.05407354,0.05407354,0.072098053,0.126171593,0.144196107,0.126171593,0.018024513,0.072098053,0.090122567,2.577505407,0.10814708,0,0.05407354,0.072098053,0.018024513,0,0,0.036049027,0.036049027,1.964671954,0.10814708,0,0.05407354,0.090122567,0.036049027,0,0,0,0.018024513,0.036049027,0,0,0.10814708,0,0.018024513,0.036049027,0,0.036049027,0,0.018024513,0.05407354,0,0.16222062,4.397981255,4.848594088,4.037490988,0.126171593,5.875991348,0.05407354,6.506849315,4.632299928,2.937995674,5.173035328,5.713770728,0.036049027,0.234318673,3.731074261
54,150 mb,pre (1:5),4.008394544,0.125918153,8.898216159,5.498426023,0.167890871,0,0.461699895,0.020986359,0.083945435,1.636935992,0.251836306,0.020986359,0.37775446,0.818467996,0.041972718,0,0.041972718,0.041972718,0.146904512,0.083945435,0,0,0.041972718,0.062959077,0.146904512,0.041972718,0.041972718,0.041972718,0.020986359,0.020986359,0.083945435,0.083945435,0.041972718,0.020986359,0,0.020986359,0.020986359,3.231899265,0.125918153,0,0.041972718,0.020986359,0.062959077,0,0,0,0.041972718,1.930745016,0.020986359,0,0,0.062959077,0,0,0,0,0,0.041972718,0,0,0.041972718,0,0,0,0,0,0,0,0.020986359,0.020986359,0.167890871,4.533053515,5.330535152,4.742917104,0.167890871,5.267576076,0.020986359,6.442812172,4.679958027,2.833158447,5.456453305,5.435466946,0,0.125918153,4.029380902
55,15 mb,pre (1:5),4.357846218,0.251414205,9.74230044,5.929184999,0.398072491,0.020951184,0.523779594,0.041902367,0.020951184,1.17326629,0.020951184,0.041902367,0.607584329,1.110412738,0,0,0.146658286,0,0.041902367,0.104755919,0.041902367,0.020951184,0.083804735,0.041902367,0.188560654,0.083804735,0.041902367,0.041902367,0.041902367,0.020951184,0.041902367,0.041902367,0.104755919,0.062853551,0.020951184,0.041902367,0.062853551,2.556044417,0.377121307,0.020951184,0.020951184,0,0.062853551,0,0,0,0.083804735,2.137020742,0,0.020951184,0,0.020951184,0,0,0.020951184,0,0,0.020951184,0,0,0.020951184,0.020951184,0,0.020951184,0.020951184,0,0,0,0.020951184,0.020951184,0.398072491,4.525455688,4.462602137,4.315943851,0.356170124,4.986381731,0.062853551,7.060548921,5.153991201,2.975068091,5.447307773,6.012989734,0,0.16760947,3.834066625
56,150 mb,pre (1:5),4.039497307,0.201974865,9.649910233,5.812387792,0.112208259,0.044883303,0.336624776,0.089766607,0,1.256732496,0.157091562,0,0.448833034,0.987432675,0.022441652,0,0.089766607,0.044883303,0.044883303,0.157091562,0.044883303,0,0.112208259,0.067324955,0.13464991,0.044883303,0.022441652,0.022441652,0.044883303,0,0.022441652,0.089766607,0.112208259,0.067324955,0.022441652,0,0.022441652,2.266606822,0.089766607,0,0,0,0.044883303,0,0,0.022441652,0.044883303,2.131956912,0.089766607,0,0,0,0.022441652,0,0,0.022441652,0,0.112208259,0,0,0.022441652,0.022441652,0,0,0.022441652,0,0.022441652,0.022441652,0,0,0.112208259,4.622980251,4.376122083,5.00448833,0.112208259,5.296229803,0.022441652,6.934470377,5.228904847,3.052064632,5.385996409,5.834829443,0,0.112208259,3.456014363
57,15 mb,pre (1:5),4.138120033,0.109619074,10.55083585,6.029049055,0.548095369,0.054809537,0.739928748,0.191833379,0.191833379,1.260619348,0,0,0.438476295,0.685119211,0,0,0.027404768,0.082214305,0.082214305,0.027404768,0,0.054809537,0.027404768,0.027404768,0.027404768,0,0.054809537,0.054809537,0.054809537,0.027404768,0.054809537,0.082214305,0.109619074,0.082214305,0.054809537,0.082214305,0.027404768,1.644286106,0.959166895,0,0,0.054809537,0.246642916,0,0,0.027404768,0.054809537,1.863524253,0,0.054809537,0.027404768,0.027404768,0,0.082214305,0,0,0.027404768,0.109619074,0,0,0.109619074,0.054809537,0.027404768,0.082214305,0,0.109619074,0,0.027404768,0,0.027404768,0.548095369,3.644834201,3.343381748,4.549191559,0.5206906,2.767881611,0.082214305,8.851740203,4.028500959,2.192381474,4.028500959,6.056453823,0.027404768,0.164428611,2.932310222
58,150 mb,pre (1:5),4.163080895,0.225903614,10.03657487,5.895008606,0.602409639,0.075301205,0.591652324,0.032271945,0.032271945,1.323149742,0.06454389,0.139845095,0.537865749,1.140275387,0,0,0.139845095,0.08605852,0.118330465,0.06454389,0.12908778,0.02151463,0.06454389,0.04302926,0.19363167,0.053786575,0.139845095,0.139845095,0.04302926,0.075301205,0.02151463,0.053786575,0.096815835,0.12908778,0.032271945,0,0.10757315,2.409638554,0.785283993,0.010757315,0,0.02151463,0.096815835,0,0,0,0.365748709,1.731927711,0.12908778,0.010757315,0.010757315,0.02151463,0.02151463,0.010757315,0.010757315,0.032271945,0.010757315,0.06454389,0.010757315,0,0,0,0.010757315,0.02151463,0.032271945,0.02151463,0,0,0.010757315,0.053786575,0.602409639,4.21686747,4.797762478,4.292168675,0.613166954,4.378227194,0.182874355,7.508605852,4.625645439,2.796901893,5.012908778,5.895008606,0.15060241,0.19363167,3.808089501
59,15 mb,pre (1:5),4.821272037,0.594136554,9.369825655,5.766046557,0.155839096,0.048699718,0.418817571,0.019479887,0.058439661,1.412291809,0.038959774,0.029219831,0.409077627,0.818155255,0.009739944,0,0.253238531,0.019479887,0.048699718,0.068179605,0.029219831,0.019479887,0.068179605,0.048699718,0.292198305,0.058439661,0.185058927,0.185058927,0.029219831,0.058439661,0.029219831,0.126619266,0.204538814,0.16557904,0.009739944,0.029219831,0.175318983,2.24992695,0.16557904,0.029219831,0,0.029219831,0.058439661,0,0,0,0.116879322,1.918768871,0.214278757,0,0.009739944,0.038959774,0,0,0.029219831,0,0,0.048699718,0,0.009739944,0.019479887,0.009739944,0.009739944,0,0,0,0.009739944,0,0.019479887,0.019479887,0.155839096,4.938151359,4.577773449,4.051816499,0.204538814,4.421934353,0.009739944,7.889354242,5.259569494,2.795363787,5.493328139,5.7757865,0.009739944,0.594136554,3.545339437
60,150 mb,pre (1:5),4.769717567,0.187507325,9.000351576,6.035392008,0.42189148,0.035157623,0.597679597,0.023438416,0.046876831,1.113324739,0.035157623,0.128911286,0.585960389,1.089886324,0.011719208,0.011719208,0.058596039,0.093753662,0.082034454,0.046876831,0.046876831,0,0.046876831,0.070315247,0.082034454,0.058596039,0.035157623,0.035157623,0.035157623,0.093753662,0.011719208,0.046876831,0.058596039,0.058596039,0.023438416,0.035157623,0.070315247,2.671979374,0.539083558,0.011719208,0.011719208,0.011719208,0.093753662,0,0,0,0.257822571,2.121176608,0.21094574,0.035157623,0.035157623,0.011719208,0,0,0.011719208,0.011719208,0,0.082034454,0,0,0.023438416,0.011719208,0,0.011719208,0.011719208,0.011719208,0,0,0.023438416,0.023438416,0.42189148,4.769717567,4.886909645,4.054845892,0.562521974,4.371264503,0,7.312785656,5.121293801,3.058713231,5.683815774,6.070549631,0.035157623,0.152349701,3.949373022
