"","sample","total_peaks","OtoC_weightedMean","HtoC_weightedMean","OtoC_mean","HtoC_mean","CHO","CHON","CHOS","CHOP","CHONS","CHONP","CHOSP","CHONSP","Molecular_NA","Lipids","UnSaturated_Hydrocarbons","Condensed_Hydrocarbons","Proteins","Amino_Sugars","Carbohydrates","Lignin","Tannins","Compounds_NA","Aliphatics","AliphaticsN","Saturated","Condensed_Aromatics","Aromatic","LigninPhenolics","Aromaticity_NA"
"1","X.out1.",2578,0.256428932907367,1.32621847803894,0.358507321850491,1.18645364682051,101,112,146,34,193,191,83,152,1566,184,77,336,77,19,25,108,18,1734,85,142,266,1906,38,480,-339
"2","X.out10.",794,0.278130620492768,1.65382132268954,0.25555876492265,1.49002778674316,26,51,71,19,42,46,16,18,505,82,29,39,46,8,8,48,1,533,90,36,46,553,24,176,-131
"3","X.out11.",3245,0.357524073495675,1.07758201484059,0.391308572357839,1.04219703547652,89,166,226,93,223,198,131,144,1975,149,137,505,52,16,70,158,53,2105,89,134,260,2496,112,519,-365
"4","X.out12.",2458,0.322578699340948,1.30691111274594,0.391191102005333,1.03646882650285,81,120,157,67,169,204,99,196,1365,153,115,438,42,15,36,103,27,1529,86,102,255,1827,72,437,-321
"5","X.out13.",1810,0.258755065695927,1.69060617389827,0.329496563844504,1.26685876701245,81,140,99,44,113,116,43,105,1069,158,112,192,42,10,49,71,14,1162,90,107,185,1278,56,363,-269
"6","X.out14.",2054,0.34824299107404,1.424971262042,0.434698575815112,0.987837516408315,76,99,149,64,160,136,62,172,1136,104,93,377,31,15,41,94,28,1271,69,75,221,1535,62,365,-273
"7","X.out15.",3417,0.45073582717754,1.07039520858247,0.42693254817811,0.989150674735007,109,184,265,109,315,278,151,299,1707,187,151,731,68,21,79,179,72,1929,131,149,379,2459,127,687,-515
"8","X.out16.",1684,0.363400448604523,1.34153372571443,0.360179399541784,1.18206059666897,34,116,84,61,128,117,54,95,995,103,75,226,42,19,31,82,13,1093,82,72,157,1249,46,297,-219
"9","X.out17.",2091,0.380058509505853,1.44818794311349,0.351625079943662,1.18619562840191,70,157,119,78,172,166,61,116,1152,159,106,302,66,16,39,120,18,1265,125,87,204,1491,73,410,-299
"10","X.out18.",2969,0.36978146515474,1.36586099026189,0.352674763558374,1.20688758286713,141,198,170,86,304,305,110,182,1473,248,161,463,107,39,76,186,36,1653,170,158,356,2006,104,636,-461
"11","X.out19.",2389,0.316080743554115,1.55845285549121,0.353859470288702,1.22382184839343,117,139,133,48,177,190,57,135,1393,166,103,299,99,21,41,103,21,1536,139,116,241,1720,64,462,-353
"12","X.out2.",917,0.203997725882454,1.49177831361645,0.373040945744024,1.07441469713038,39,41,132,23,56,43,36,52,495,91,49,142,18,8,3,48,26,532,59,33,93,636,21,222,-147
"13","X.out20.",873,0.321294762575525,1.74583764278563,0.278729305874394,1.54877275504957,34,58,45,26,45,43,16,22,584,72,39,35,46,8,17,31,1,624,77,34,75,634,26,152,-125
"14","X.out21.",2379,0.338722498872567,1.15686525303859,0.357556100984044,1.30196290476982,236,269,246,93,133,190,71,95,1046,160,151,279,84,87,170,294,42,1112,259,170,212,1326,179,757,-524
"15","X.out22.",3277,0.399596263962103,0.979543951451136,0.392566370872948,1.03084526380291,89,138,213,54,229,218,123,183,2030,138,121,509,47,14,46,155,34,2213,82,114,282,2543,78,522,-344
"16","X.out23.",3122,0.361747442559046,1.00344272489966,0.38942394287114,1.03039268760473,77,128,209,73,195,180,126,131,2003,114,108,467,44,12,61,146,41,2129,77,111,222,2466,94,453,-301
"17","X.out24.",1519,0.334190809274512,1.25629756076822,0.428550321567343,1.04635927134461,42,64,120,24,99,61,47,72,990,56,60,199,23,1,36,64,15,1065,41,43,135,1196,39,225,-160
"18","X.out25.",1744,0.314614367011641,1.2365743283801,0.376377431446065,1.17784160175509,62,82,122,42,100,80,54,50,1152,78,54,192,57,13,32,79,22,1217,69,57,147,1359,40,256,-184
"19","X.out26.",2797,0.358119459585774,1.06936349933126,0.363425460409766,1.14929996513884,113,195,187,87,163,208,100,109,1635,143,97,386,88,51,60,215,44,1713,122,146,192,2039,86,562,-350
"20","X.out27.",2981,0.33608173232528,1.4207811796683,0.318212918526296,1.26515096708378,123,258,195,88,230,236,101,135,1615,262,174,359,111,25,57,197,30,1766,172,166,301,2030,110,640,-438
"21","X.out28.",1013,0.288504544768564,1.51239188693295,0.334585447790329,1.32986457876248,38,68,69,31,59,65,23,49,611,78,46,89,35,4,31,67,7,656,62,40,106,723,31,182,-131
"22","X.out29.",1364,0.324700791612205,1.25595882904535,0.404537601093605,1.14426795554945,41,64,94,35,72,59,42,39,918,62,34,145,30,8,35,71,17,962,50,48,105,1079,30,197,-145
"23","X.out3.",1379,0.291832465786796,1.50348586187173,0.332691640018281,1.19008955217819,40,78,85,33,88,110,38,82,825,88,66,170,28,7,32,74,16,898,49,75,128,1001,45,260,-179
"24","X.out30.",1087,0.3450576681669,1.45688424634999,0.346270723386304,1.33113762513583,29,67,58,36,71,51,26,29,720,65,53,73,38,9,27,44,10,768,64,39,100,819,29,178,-142
"25","X.out31.",3155,0.316042041837748,0.88858323781951,0.351517952280101,1.03789580851295,38,109,132,78,107,96,78,79,2438,112,71,290,22,3,34,84,33,2506,55,96,116,2765,57,273,-207
"26","X.out32.",3083,0.344513814965861,0.89194151864901,0.375989728132752,1.01985198363198,41,112,145,66,123,135,88,91,2282,104,69,319,25,10,29,108,39,2380,52,96,147,2633,65,318,-228
"27","X.out33.",2515,0.321320397795402,0.890732059164093,0.392543500753121,0.977328549472758,47,79,122,76,93,98,66,75,1859,62,56,289,23,8,33,91,30,1923,47,59,116,2165,64,232,-168
"28","X.out34.",2975,0.34212756095046,0.890431193195492,0.396192145321377,0.991901164885031,43,90,143,74,128,103,91,91,2212,87,63,315,24,14,31,106,33,2302,51,87,135,2541,67,308,-214
"29","X.out35.",2856,0.319022276060721,0.904589436463924,0.36828755032581,1.05937921616884,49,99,132,69,110,116,79,78,2124,99,68,286,40,13,30,95,30,2195,61,84,132,2438,58,285,-202
"30","X.out36.",2913,0.350770235086668,0.967713092881669,0.363361643467193,1.13775724882611,54,158,146,72,151,160,94,104,1974,152,85,326,62,19,38,124,32,2075,101,112,184,2337,79,390,-290
"31","X.out37.",3319,0.337032701550266,1.05069281310572,0.35462660974162,1.17123366563583,81,196,176,90,181,211,119,132,2133,192,122,385,87,22,50,151,47,2263,138,132,249,2586,93,496,-375
"32","X.out38.",3461,0.358783860897103,1.0084449637378,0.351773123841591,1.15058595796889,94,180,163,88,190,252,110,128,2256,185,115,422,79,23,48,150,44,2395,115,142,252,2739,91,479,-357
"33","X.out39.",2798,0.35455337673173,1.04250299001092,0.347780778187349,1.1268021994732,100,251,173,63,203,197,78,107,1626,142,136,386,81,30,58,214,50,1701,103,140,179,2037,112,548,-321
"34","X.out4.",1223,0.281070227050885,1.24708297510009,0.41290954508578,0.905485577073791,22,45,105,28,86,49,29,91,768,47,40,212,13,10,1,48,9,843,24,35,100,973,28,182,-119
"35","X.out40.",3405,0.348250151949818,1.06454370194776,0.321976683585406,1.22071622651999,80,181,157,82,169,196,91,106,2343,186,125,308,70,20,49,147,35,2465,116,147,211,2710,83,479,-341
"36","X.out41.",2611,0.294995705750764,1.31782153513312,0.341978979064958,1.18658476451744,83,217,202,60,190,194,95,150,1420,200,159,348,56,21,56,176,29,1566,99,168,256,1773,84,604,-373
"37","X.out42.",2793,0.387323159047771,1.07308627337478,0.396551132777403,1.02353036145994,96,214,258,95,256,274,105,240,1255,185,158,627,54,21,55,187,62,1444,110,143,333,1893,124,631,-441
"38","X.out43.",2190,0.256470432188771,1.39853017531831,0.313307639812712,1.2930339303836,69,196,153,52,142,149,74,111,1244,166,138,223,65,22,50,148,20,1358,97,142,219,1486,73,489,-316
"39","X.out44.",2742,0.339666941905522,1.15730836329113,0.37861762813231,1.08667093972912,90,191,200,63,221,220,77,202,1478,176,144,452,52,24,47,167,24,1656,92,146,278,1942,80,577,-373
"40","X.out45.",2802,0.364156381500346,1.20918486108388,0.369880033414617,1.09898485062806,95,258,251,85,267,264,85,211,1286,213,184,545,73,32,78,194,46,1437,127,163,335,1836,111,680,-450
"41","X.out46.",3819,0.326923535058131,1.32023198843373,0.332862734163067,1.24408090294623,160,304,244,108,310,356,118,211,2008,324,212,501,139,41,73,276,46,2207,203,226,392,2554,116,904,-576
"42","X.out47.",4153,0.348843813230162,1.39883912610265,0.324548153266748,1.2427598885815,173,316,264,121,406,377,167,235,2094,359,259,594,169,38,80,285,39,2330,228,223,472,2752,151,933,-606
"43","X.out48.",3877,0.345841081940748,1.3424476851972,0.349734329326386,1.22160709824889,192,315,253,124,417,398,133,251,1794,366,239,619,149,47,100,271,50,2036,212,239,508,2496,150,915,-643
"44","X.out49.",3644,0.383479026588341,1.19576971425564,0.360066289874879,1.12642551829988,136,301,293,95,296,361,125,255,1782,284,233,655,90,37,98,205,57,1985,182,203,419,2487,139,807,-593
"45","X.out5.",1310,0.395913385035839,1.21333125968033,0.376018968371733,1.07613926989266,23,54,72,32,90,56,44,65,874,71,37,172,26,6,9,48,6,935,46,33,104,1041,23,186,-123
"46","X.out50.",1822,0.322256873950081,1.60295839778335,0.291715518648568,1.3757732766163,58,141,111,42,124,155,38,73,1080,151,104,151,70,17,43,105,8,1173,106,118,174,1270,50,388,-284
"47","X.out51.",2297,0.260780601456253,1.30861793207316,0.273216339844739,1.38591573550688,114,164,105,22,125,234,60,95,1378,209,117,199,99,11,35,104,15,1508,86,192,225,1624,55,453,-338
"48","X.out52.",3024,0.345535307571749,1.07866555775208,0.359995081956071,1.06052872918178,123,157,193,63,244,279,109,252,1604,214,150,561,71,17,28,140,36,1807,108,137,332,2196,92,560,-401
"49","X.out53.",2514,0.392217742516493,1.14298004049308,0.362517275143244,1.100341185875,77,175,168,94,174,204,97,151,1374,154,103,404,76,15,54,162,59,1487,112,138,212,1798,86,526,-358
"50","X.out54.",2353,0.326368101059045,1.19681145521638,0.381188325717862,1.02355186762186,76,124,163,55,189,183,76,199,1288,137,115,434,60,19,36,109,22,1421,87,106,225,1715,68,456,-304
"51","X.out55.",2019,0.319902186102152,1.30191270402879,0.318988296008902,1.21736225779374,50,128,90,56,155,169,57,103,1211,153,88,247,66,9,31,90,20,1315,99,114,168,1481,45,387,-275
"52","X.out56.",2289,0.381094954947345,1.20912284376026,0.36500286322372,1.11158470723904,58,102,130,48,187,173,62,122,1407,130,111,322,69,12,26,74,16,1529,85,100,200,1732,43,404,-275
"53","X.out57.",2797,0.354477812490338,1.04220582013226,0.3474292601955,1.12654777412932,100,250,172,63,203,197,78,107,1627,142,136,386,81,30,58,213,49,1702,103,140,179,2038,112,546,-321
"54","X.out58.",3804,0.343216465127442,1.27176799847224,0.315548610106281,1.24976501181996,136,250,180,86,335,338,116,175,2188,289,183,456,132,33,55,232,31,2393,165,211,367,2701,115,748,-503
"55","X.out59.",2920,0.298408084629961,1.402533225,0.303077083022859,1.30447484572691,113,259,151,79,221,290,76,146,1585,274,170,325,88,33,49,191,31,1759,151,181,318,1962,94,646,-432
"56","X.out6.",721,0.306774561553759,1.39974045668715,0.344872195661769,1.17399302946361,14,23,39,13,37,15,12,20,548,38,14,60,14,4,3,13,1,574,35,19,35,610,11,79,-68
"57","X.out60.",2957,0.369815459619456,1.67905373872703,0.311669866650215,1.45742080070371,133,228,113,59,313,298,71,109,1633,289,145,221,133,43,101,207,41,1777,175,219,354,1917,80,698,-486
"58","X.out7.",1649,0.262207990524167,1.4728797343371,0.299904857325353,1.29313862377533,55,124,146,49,125,99,45,72,934,162,93,165,82,12,13,110,16,996,135,94,116,1108,44,417,-265
"59","X.out8.",1254,0.216893769649613,1.29392353374162,0.259079456298384,1.34601325139949,47,75,128,25,81,61,23,39,775,141,71,88,49,1,15,76,6,807,87,93,65,872,47,287,-197
"60","X.out9.",1292,0.197914522768669,1.41471309139323,0.259491565250834,1.33627897000672,56,98,118,38,95,93,46,52,696,161,106,124,41,8,7,73,16,756,88,78,123,827,51,323,-198
