Malak's ID,PoreWater_ID,Malak's_PoreWater ID,site,depth,Pressure_mbar,Suction_kPa,notes
73,10D,10D,DMT,30-60,500,50,
109,11A,11A,PT,0-30,15,1.5,
110,11B,11B,PT,0-30,30,3,
95,11C,11C,PT,0-30,150,15,
116,12A,12A,PT,30-60,15,1.5,
119,12B,12B,PT,30-60,30,3,
113,12D,12D,PT,30-60,500,50,
108,13A,13A,PT,60-90,15,1.5,
107,13B,13B,PT,60-90,30,3,
94,13C,13C,PT,60-90,150,15,
111,14B,14B,PT,90-120,30,3,
85,14C,14C,PT,90-120,150,15,
89,14D,14D,PT,90-120,500,50,
102,15A,15A,PT,120-150,15,1.5,
131,15B,15B,PT,120-150,30,3,
118,15C,15C,PT,120-150,150,15,
129,15D,15D,PT,120-150,500,50,
100,16A,16A,PT,150-180,15,1.5,
132,16B,16B,PT,150-180,30,3,
92,16C,16C,PT,150-180,150,15,
81,16D,16D,PT,150-180,500,50,
104,17A,17A,PT,180-210,15,1.5,
106,17B,,,,,,
144,17C,,,,,,
90,18D,18D,PT,210-240,500,50,
134,19A,19A,PT,0-30,15,1.5,
155,19A2,19A2,PT,0-30,15,1.5,
141,19B,19B,PT,0-30,30,3,
137,19D,19D,PT,0-30,500,50,
70,1A,1A,DMT,0-30,15,1.5,
38,1B,1B,DMT,0-30,30,3,
32,1C,1C,DMT,0-30,150,15,
72,20A,20A,PT,30-60,15,1.5,
145,20B,20B,PT,30-60,30,3,
64,20C,20C,PT,30-60,150,15,
65,20D,20D,PT,30-60,500,50,
93,21A,21A,PT,60-90,15,1.5,
143,21B,21B,PT,60-90,30,3,
136,21C,21C,PT,60-90,150,15,
63,22A,22A,PT,90-120,15,1.5,
47,22B,22B,PT,90-120,30,3,
139,22C,22C,PT,90-120,150,15,
74,23A,23A,PT,120-150,15,1.5,
147,23B,23B,PT,120-150,30,3,
49,23C,23C,PT,120-150,150,15,
138,23D,23D,PT,120-150,500,50,
50,24A,24A,PT,150-180,15,1.5,
23,24B,24B,PT,150-180,30,3,
19,24C,24C,PT,150-180,150,15,
20,24D,24D,PT,150-180,500,50,
112,25A,25A,PT,180-210,15,1.5,
133,25B,25B,PT,180-210,30,3,
41,25D,25D,PT,180-210,500,50,
79,26A,26A,PT,0-30,15,1.5,
42,26C,26C,PT,0-30,150,15,
121,26D,26D,PT,0-30,500,50,
96,27A,27A,PT,30-60,15,1.5,
98,27B2,27B2,PT,30-60,30,3,
122,27D,27D,PT,30-60,500,50,
117,28A,28A,PT,60-90,15,1.5,
86,28B2,28B2,PT,60-90,30,3,
128,28C,28C,PT,60-90,150,15,
123,28D,28D,PT,60-90,500,50,
99,29A,29A,PT,90-120,15,1.5,
87,29B2,29B2,PT,90-120,30,3,
105,29C,29C,PT,90-120,150,15,
135,29D,29D,PT,90-120,500,50,
115,2B,2B,DMT,30-60,30,3,
80,2C,2C,DMT,30-60,150,15,
150,2D,2D,DMT,30-60,500,50,
43,30A,30A,PT,120-150,15,1.5,
14,30B,30B,PT,120-150,30,3,
28,30C,30C,PT,120-150,150,15,
120,30D,30D,PT,120-150,500,50,
6,31A,31A,PT,150-180,15,1.5,
3,31B,31B,PT,150-180,30,3,
11,31C,31C,PT,150-180,150,15,
46?,32A,32A,GS,30-60,15,1.5,??
39,32B,32B,PT,180-210,30,3,
40,32C,32C,PT,180-210,150,15,
35,32D,32D,PT,180-210,500,50,
127,33A,33A,PT,210-240,15,1.5,
156,33B,33B,PT,210-240,30,3,
97,33B2,33B2,PT,210-240,30,3,
33,33D,33D,PT,210-240,500,50,
44,34A,34A,PT,0-30,15,1.5,
29,34B,34B,PT,0-30,30,3,
2,34C,34C,PT,0-30,150,15,
27,34D,34D,PT,0-30,500,50,
56,35A,35A,PT,30-60,15,1.5,
8,35B,35B,PT,30-60,30,3,
4,35C,35C,PT,30-60,150,15,
24,35D,35D,PT,30-60,500,50,
68,36A,36A,PT,60-90,15,1.5,
21,36B,36B,PT,60-90,30,3,
18,36D,36D,PT,60-90,500,50,
77,37A,37A,PT,90-120,15,1.5,
61,37B,37B,PT,90-120,30,3,
151,37C,37C,PT,90-120,150,15,
12,37D,37D,PT,30-60,500,50,??
53,38A,38A,PT,120-150,15,1.5,
67,38B,38B,PT,120-150,30,3,
62,38B2,38B2,PT,120-150,30,3,
57,38C,,,,,,
45,38D,38D,PT,120-150,500,50,
60,39A,39A,PT,150-180,15,1.5,
66,39B2,39B2,PT,150-180,30,3,
69,39C,39C,PT,150-180,150,15,
54,39D,39D,PT,150-180,500,50,
76,40A,,,,,,
7,40B,40B,PT,180-210,30,3,
5,40C,40C,PT,180-210,150,15,
22,40D,40D,PT,180-210,500,50,
52,41A,,,,,,
142,41B,41B,PT,0-30,30,3,??
31,41D,41D,PT,210-240,500,50,
114,42A,42A,GS,0-30,15,1.5,
130,42B,42B,GS,0-30,30,3,
126,42C,42C,GS,0-30,150,15,
140,42D,42D,GS,0-30,500,50,
88,43B,43B,GS,30-60,30,3,
103,44A,44A,GS,60-90,15,1.5,
101,45A,45A,GS,0-30,15,1.5,
26,45A2,45A2,GS,0-30,15,1.5,
16,45B,45B,GS,0-30,30,3,
10,45D,45D,GS,0-30,500,50,
148,46A,46A,GS,30-60,15,1.5,
1,46B,46B,GS,30-60,30,3,
36,46C,46C,GS,30-60,150,15,
91,47A,47A,GS,60-90,15,1.5,
149,47B,47B,GS,60-90,30,3,
17,47D,47D,GS,60-90,500,50,
13,48D,48D,GS,0-30,500,50,
84,49A,49A,GS,30-60,15,1.5,
153,49B,49B,PT,90-120,30,3,??
34,49D,49D,GS,30-60,500,50,
83,50A,50A,GS,60-90,15,1.5,
125,50B,50B,GS,60-90,30,3,
37,50D,50D,GS,60-90,500,50,
75,51A,51A,GS,0-30,15,1.5,
15,51B,51B,PT,0-30,30,3,
25,51C,51C,GS,0-30,150,15,
9,51D,51D,GS,0-30,500,50,
71,52A,52A,GS,30-60,15,1.5,
59,52B,52B,GS,30-60,30,3,
30,52C,52C,GS,30-60,150,15,
78,53A,53A,GS,60-90,15,1.5,
55,53B,53B,GS,60-90,30,3,
48,53C,53C,GS,30-60,150,15,
146,53D,53D,PT,210-240,500,50,??
82,5A,5A,DMT,30-60,15,1.5,
51,6A,6A,DMT,60-90,15,1.5,
124,7A,7A,DMT,0-30,15,1.5,
154,8A,8A,DMT,30-60,15,1.5,
152,8D,8D,DMT,30-60,500,50,
58,,?,PT,150-180,15,1.5,
,,53C,GS,60-90,150,15,??